"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","464","test_login[case1]","testcases","2026-05-19","passed","2026-05-19","TestLogin","test_login","",""
"","363","新增购物车","testcases","2026-05-19","passed","2026-05-19","TestShoppingCart","test_shoppingcart","",""
"","377","空商品下单","testcases","2026-05-19","passed","2026-05-19","TestOrder","test_order","",""
"","479","查全部购物车","testcases","2026-05-19","passed","2026-05-19","TestShoppingCart","test_shoppingcart","",""
"","371","缺少userId下单","testcases","2026-05-19","passed","2026-05-19","TestOrder","test_order","",""
"","359","查商品详情","testcases","2026-05-19","passed","2026-05-19","TestProduct","test_product","",""
"","378","查全部商品","testcases","2026-05-19","passed","2026-05-19","TestProduct","test_product","",""
"","2922","test_login[case0]","testcases","2026-05-19","passed","2026-05-19","TestLogin","test_login","",""
"","474","查单个购物车","testcases","2026-05-19","passed","2026-05-19","TestShoppingCart","test_shoppingcart","",""
"","368","正常下单","testcases","2026-05-19","passed","2026-05-19","TestOrder","test_order","",""
